dataset,n_neighbors,n_clusters,silhouette,ARI,seed
olivetti_pca100,12,40,0.04667383059859276,0.19892215442332573,42
olivetti_pca100,10,38,0.052820902317762375,0.27168327090241284,42
olivetti_pca100,15,45,0.0583597868680954,0.1355236557880425,42
